MPID,Name,Constituency,Region,Party,Gender,Legislature,Chamber,Session,Activity,Date,Description,Category,Status,Purpose,Organization
LWMP-02-0204,Dr. Daw A Zin Latt,Shwebo,Sagaing,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Motion,12/09/2016, “ ကျောင်းမုန့်ဈေးတန်းများ အပါအဝင် မြန်မာနိုင်ငံ တစ်ဝန်းရှိ ဈေးကွက်အတွင်းတွင် ရောင်းချလျက်ရှိသော ကျန်းမာရေးနှင့် မညီညွှတ်သည့် ဓါတု ဆိုးဆေးပါ စားသောက်ကုန်များ၊ စားသောက်ဖွယ်ရာများ ရောင်းချနေခြင်းအား ထိရောက်စွာ တားဆီးနှိမ်နင်းနိုင်ရန် တာဝန်ရှိသည့် ဌာနဆိုင်ရာများ စုပေါင်းပါဝင်သော နိုင်ငံတော်အဆင့် စီမံချက်တစ်ရပ် ရေးဆွဲအကောင်အထည်ဖော်ဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း ”,NA,Postpone,NA,
LWMP-02-0195,U Tun Wai,Paungbyin,Sagaing,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Motion,12/01/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,"Ministry of Agriculture, Livestock Breeding and Irrigation"
LWMP-02-0135,U Thang Htay Lynn,Patheingyi,Mandalay,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0133,Dr. U Aung Khin,Pyinoolwin,Mandalay,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0284,U Myo Zaw Oo,Lewe,Union Region,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0077,Daw San San Ei,Mohnyin,Kachin,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0017,U Sein Win,Maubin,Ayeyawaddy,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0098,Daw Yin Min Hlaing,Gangaw,Magway,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0106,U Myat Lay Oo,Tilin,Magway,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0189,U Naing Naing Win,Tamu,Sagaing,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0009,Dr. Daw Khin Nyo,Dedaye,Ayeyawaddy,NLD,Female,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
LWMP-02-0102,U Nay Htet Win,Sinbaungwe,Magway,NLD,Male,Second Pyithu Hluttaw,Pyithu Hluttaw,Third Regular Session,Debate,12/12/2016, “ နိုင်ငံတစ်ဝန် စိုက်ပျိုးရေး လုပ်ကိုင်ရန် အတွက် မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး ဗဟိုကော်မတီမှ မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေး နည်းဥပဒေ ပုဒ်မ ၄၅ အရ ခွင့်ပြုခဲ့သည့် သစ်တောမြေများအား အဆိုပါ နည်းဥပဒေနှင့်အညီ စိစစ်ပြီး နည်းဥပဒေပါ စည်းကမ်းချက်များနှင့် မညီညွတ်သော လုပ်ကွက်မြေဧရိယာများအား နည်းဥပဒေပုဒ်မ ၅၇ အရနိုင်ငံတော်မှ စီမံခန့်ခွဲပိုင်ခွင့်ရှိသည့် မြေများအဖြစ် ပြန်လည်ရုပ်သိမ်း၍ သဘာဝနည်းလမ်း များဖြင့် သစ်တော ပြုစုပျိုးထောင်ခြင်းကိုဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်း ကြောင်း ”,NA,Recorded,NA,NA
