bill_mm,bill_en,organization,type,note,draft_availability,omi_note
အဂတိလိုက်စားမှုတိုက်ဖျက်ရေးဥပဒေ ( ပြည်ထောင်စုလွှတ်တော် ဥပဒေအမှတ် ၂၃/၂၀၁၃),Anti-Corruption Law,Anticorruption Commission,Amendment,,,Title:Unofficial translation into English
မြန်မာနိုင်ငံတော်ဗဟိုဘဏ်ဥပဒေ (ပထစဥပဒေအမှတ် ၁၆/၂၀၁၃),Central Bank of Myanmar Law,Central Bank of Myanmar,Amendment,,,Title:Unofficial translation into English
တောင်သူလယ်သမားအခွင့်အရေးကာကွယ်ရေးနှင့် အကျိုးစီပွားမြှင့်တင်ရေးဥပဒေ (ပထစဥပဒေအမှတ် ၃၂/၂၀၁၃),Law for Protection and Promotion of Farmers’ Rights,"Ministry of Agriculture, Livestock Breeding and Irrigation",Amendment,,,Title:Unofficial translation into English
မြေလွတ်၊ မြေလပ်နှင့် မြေရိုင်းများ စီမံခန့်ခွဲရေးဥပဒေ ( ပထစဥပဒေအမှတ် ၁၀/၂၀၁၂),"Fallow, Vacant and Virgin Land Managment Law","Ministry of Agriculture, Livestock Breeding and Irrigation",Amendment,,,Title:Unofficial translation into English
မြန်မာ့လယ်ယာဖွံ့ဖြိုးရေးဘဏ်ဥပဒေ ( နဝတ ဥပဒေအမှတ် ၁၇/၁၉၉၀) (ယခင် အမည် မြန်မာ့စိုက်ပျိုးရေးနှင့် ကျေးလက်ဖွံ့ဖြိုးရေးဘဏ် ဥပဒေကို နဝတ ဥပဒေအမှတ် ၃/၁၉၉၇ ဖြင့် ပြင်ထားပါသည်),Myanmar Agricultural Development Bank Law,"Ministry of Agriculture, Livestock Breeding and Irrigation",Amendment,,,Title:Unofficial translation into English
လယ်ယာမြေဥပဒေ (ပထစဥပဒေအမှတ် ၁၁/၂၀၁၂),Farmland Law,"Ministry of Agriculture, Livestock Breeding and Irrigation",Amendment,,,Title:Unofficial translation into English
ပြည်ထောင်စုတိုင်းရင်းသားလူမျိုးများ ဖွံ့ဖြိုးတိုးတက်ရေးတက္ကသိုလ်ဥပဒေ (နဝတဥပဒေအမှတ် ၉/၁၉၉၁),Ethnic Nationalities Development University Law,Ministry of Border Affairs,Amendment,,,Title:Unofficial translation into English
မြန်မာနိုင်ငံအင်ဂျင်နီယာကောင်စီဥပဒေ (ပထစဥပဒေအမှတ် ၃၇/၂၀၁၃),Myanmar Engineer Council Law,Ministry of Construction,Amendment,,,Title:Unofficial translation into English
၁၉၇၃ခုနှစ်၊ ပြည်ထောင်စုမြန်မာနိုင်ငံစာစစ်အဖွဲ့ဥပဒေ ( ဥပဒေအမှတ် ၁၆/၁၉၇၃),Myanmar Exam Board Law,Ministry of Education,Amendment,,Yes,Already under Debate/Title:Unofficial translation into English
၁၉၄၉ ခုနှစ်၊ ပြည်တန်ဆာနှိပ်ကွပ်ရေးအက်ဥပဒေ ( ဥပဒေအမှတ် ၂၄/၁၉၄၉၊ အတွဲ-၄),1949 Anti-Prosecution Law,Ministry of Home Affairs,Amendment,,,Title:Unofficial translation into English
၁၉၆၀ ပြည့်နှစ်၊ မြို့ပြဆိုင်ရာငှားရမ်းခ ကြီးကြပ်ရေး အက်ဥပဒေ ( ဥပဒေအမှတ် ၈/၁၉၆၀),1960 Urban Rental Control Act,Ministry of Home Affairs,Amendment,,,Title:Unofficial translation into English
မူးယစ်ဆေးဝါးနှင့် စိတ်ကိုပြောင်းလဲစေသော ဆေးဝါးများဆိုင်ရာဥပဒေ (နဝတဥပဒေအမှတ် ၁/၁၉၉၃),Law against Illicit Drugs,Ministry of Home Affairs,Amendment,,,Title:Unofficial translation into English
အထူးစုံစမ်းစစ်ဆေးမှုအုပ်ချုပ်ရေးအဖွဲ့နှင့် အထူးစုံစမ်းစစ်ဆေးရေးဌာန အက်ဥပဒေ ( ဥပဒေအမှတ် ၅၀/၁၉၅၁၊ အတွဲ-၂),Special Investigation Bureau Law,Ministry of Home Affairs,Amendment,,,Title:Unofficial translation into English
ရုပ်မြင်သံကြားနှင့် အသံထုတ်လွှင့်ခြင်းဆိုင်ရာဥပဒေ (ပထစဥပဒေအမှတ် ၅၃/၂၀၁၅),Broadcasting Law,Ministry of Information,Amendment,,,Title:Unofficial translation into English
သတင်းမီဒီယာဥပဒေ (၁၂/၂၀၁၄),News Media Law,Ministry of Information,Amendment,,,Title:Unofficial translation into English
၂၀၁၂ ခုနှစ်၊ လူမှုဖူလုံရေးဥပဒေ (ပထစဥပဒေအမှတ် ၁၅/၂၀၁၂),Social Security Law,"Ministry of Labours, Immigration and Population ",Amendment,,,Title:Unofficial translation into English
အလုပ်သမားရေးရာအငြင်းပွားမှုဖြေရှင်းရေးဥပဒေ (ပထစဥပဒေအမှတ် ၅/၂၀၁၂),Labour Dispute Law,"Ministry of Labours, Immigration and Population ",Amendment,,,Title:Unofficial translation into English
အလုပ်အကိုင်ဆိုင်ရာ စာရင်းစစ်တမ်းကောက်ယူခြင်းအက်ဥပဒေ (ဥပဒေအမှတ် ၅၄၊ ၁၉၄၈၊ အတွဲ ၅),Labour Survey Act,"Ministry of Labours, Immigration and Population ",Amendment,,,Title:Unofficial translation into English
တောရိုင်းတိရစ္ဆာန်နှင့် သဘာဝအပင်များ ကာကွယ်ရေးနှင့် သဘာဝနယ်မြေများ ထိန်းသိမ်းရေးဥပဒေ ( နဝတဥပဒေအမှတ် ၆/၁၉၉၄),Wildlife and Natural Plants Conservation Law,Ministry of Natural Resources and Enviromental Conservation,Amendment,,,Title:Unofficial translation into English
မြန်မာ့ကျောက်မျက်ရတနာဥပဒေ (နဝတဥပဒေအမှတ် ၈/၁၉၉၅),Myanmar Gems Law,Ministry of Natural Resources and Enviromental Conservation,Amendment,,,Title:Unofficial translation into English
