MPID,name.x,constituency,Hluttaw,committee.x,position,
,ဒုဗိုလ်မှူးကြီးမောင်မောင်ဦး,,ပြည်သူ့လွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
UPMP-02-0037,ဦးဂျေယောဝူ,ကချင်-1,အမျိုးသားလွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
LWMP-02-0159,ဦးဦးထွန်းဝင်း,ကျောက်တော်မဲဆန္ဒနယ်,ပြည်သူ့လွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
UPMP-02-0067,ဒေါ်နန်းမိုးမိုးထွေး,ကရင်-4,အမျိုးသားလွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
LWMP-02-0182,ဦးမျိုးဇော်အောင်,ကောလင်းမဲဆန္ဒနယ်,ပြည်သူ့လွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
UPMP-02-0085,ဒေါက်တာသန်းဝင်း,မန္တလေး-1,အမျိုးသားလွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,ဥက္ကဋ္ဌ,Updated on 30-01-2017
UPMP-02-0132,ဦးမောင်မောင်လတ်,စစ်ကိုင်း-9,အမျိုးသားလွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
LWMP-02-0294,ဦးဘိုဘိုဦး,စမ်းချောင်းမဲဆန္ဒနယ်,ပြည်သူ့လွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အတွင်းရေးမှူး,
UPMP-02-0154,ဦးဇော်ဟိန်း,တနင်္သာရီ-7,အမျိုးသားလွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
LWMP-02-0037,ဒေါ်ခင်နှင်းသစ်,ပန်းတောင်းမဲဆန္ဒနယ်,ပြည်သူ့လွှတ်တော်,ပြည်ထောင်စုလွှတ်တော် နိုင်ငံတကာပါလီမန်များညီလာခံဆိုင်ရာ ပူးပေါင်းကော်မတီ,အဖွဲ့ဝင်,
