MPID,Name,Constituency,Region,Party,Gender,Ethnicity,Religion,DoB,Previous_Occupation,Term,Parliament,Start_Date,End_Date,image
LWMP-02-0001,U Shwe Hla Kyaing,Kangyidaunt,Ayeyarwaddy,NLD,Male,Kayin,Buddhist,08/02/1947,အငြိမ်းစားလက်ထောက်မြို့နယ်ပညာရေးမှူး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0084.jpg
LWMP-02-0002,U Yan Lynn,Kyaiklat,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,03/03/1972,အကြံပေးအရာရှိ(စိုက်ပျိုးရေးနှင့်ကျေးလက်ဖွံ့ဖြိုးရေး),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150821_0017.jpg
LWMP-02-0003,U Soe Aung Naing,Kyonpyaw,Ayeyarwaddy,NLD,Male,Kumee (Chin),Christian,01/17/1966,ဒီချုပ်          မြို့နယ်အလုပ်အမှုဆောင်အဖွဲ့ဘဏ္ဍထိန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0450.jpg
LWMP-02-0004,U Thein Tun,Kyaunggon,Ayeyarwaddy,USDP,Male,Bamar,Buddhist,10/30/1947,Engineer,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0460.jpg
LWMP-02-0005,U Tun Lin Maw,Kyangin,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,06/11/1974,Lawyer,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_054.jpg
LWMP-02-0006,U Than Aung,Ngapudaw,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,10/23/1955,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0444.jpg
LWMP-02-0007,U Aung Min,Zalun,Ayeyarwaddy,NLD,Male,Chin,Buddhist,08/24/1956,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150821_048.jpg
LWMP-02-0008,U Ohn Lwin,Nyaungdon,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,03/05/1950,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0068.jpg
LWMP-02-0009,Dr. Daw Khin Nyo,Dedaye,Ayeyarwaddy,NLD,Female,Bamar,Buddhist,10/07/1957,ဂျာနယ်ဖြန့်ချီရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150819_0072.jpg
LWMP-02-0010,U Tin Hla,Danubyu,Ayeyarwaddy,NLD,Male,Bamar,Buddhist,09/13/1956,သမကောလိပ်(အငြိမ်းစား) ဥက္ကဋ္ဌ ငွေမိုး MF-Coop,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150819_0017.jpg
